load_order,file_name,table_name,source_rows,loaded_rows,fk_check
1,companies.xlsx,companies,92,92,0
2,profitandloss.xlsx,profitandloss,1276,1276,0
3,balancesheet.xlsx,balancesheet,1312,1312,0
4,cashflow.xlsx,cashflow,1187,1187,0
5,financial_ratios.xlsx,financial_ratios,1184,1184,0
6,market_cap.xlsx,market_cap,552,552,0
7,stock_prices.xlsx,stock_prices,5520,5520,0
8,documents.xlsx,documents,1585,1585,0
9,peer_groups.xlsx,peer_groups,56,56,0
10,analysis.xlsx,analysis,20,20,0
11,prosandcons.xlsx,prosandcons,16,26,0
12,sectors.xlsx,sectors,92,92,0
